cancion,artista
"Recuerdo que contigo fue tan diferente
Tan natural (tan natural)
Jugando, me decías que leías mi mente
Y era verdad (era verdad)

Aún guardo cada carta que me diste
Y aunque hay palabras que nunca dijiste
El tiempo que tuvimos no fue suficiente
Para olvidar, no

Aunque yo sé que es tarde para recordar

Y una noche rota
Fue la última vez que te perdí
Una vida loca
Cuando sin querer me despedí
Y hoy que tú ya no estás
Tú ya no estás, tú ya no estás aquí
Se quedó en mi boca
Una historia, una canción y un beso en Madrid

Parecen solo días y va casi un año
Y a ti lloré
Yo sé que estamos bien, pero a veces te extraño
Yo te adoré

Yo te adoré con locura
Y aunque el tiempo todo lo cura
Hay amores que se olvidan
Hay que amores que siempre duran
Esto no fue una aventura
Pero tuvo que terminar

Aunque yo sé que es tarde para recordar

Y una noche rota
Fue la última vez que te perdí
Una vida loca
Cuando sin querer me despedí
Y hoy que tú ya no estás
Tú ya no estás, tú ya no estás aquí
Se quedó en mi boca
Una historia, una canción y un beso en Madrid

No (sé que hubo un beso en Madrid)
Un beso en Madrid (hubo)
Una historia, una canción y un beso en Madrid, no
Beso (hoy quedan en mí) en Madrid
Una historia, una canción
Y un beso en Madrid",tini
"(Vos tenés ganas de enamorarte)
(Pero, después, de desenamorarte)
(Te digo que es el laburo)
(No me quiero enamorar)
(Jajaja)

Tardo pa' contestarte
Y tú tardas pa' madurar
Algo me dice que ya es muy tarde
Pero no me dejo de preguntar

¿Qué nos pasó?
Que cuando estábamos bien, se complicó
Que nos queríamos tanto y ahora no
Cupido tiró la flecha y la cagó
¿Qué le pasó?

Porque ahora estoy sola en mi soledad
Amor que se viene, amor que se va
No me pidas tiempo, que eso no va
Tú pides y pides, y no das na'

Si pa' olvidarte no me alcanza el alcohol
No hay botella que aguante a borrar este dolor
Yo sí quiero una chance pa' vivir sin tu amor
Pero esta tusa es tan grande, va de mal en peor

¿Qué nos pasó?
Que cuando estábamos bien, se complicó
Que nos queríamos tanto y ahora no
Cupido tiró la flecha y la cagó
¿Qué le pasó?

¿Qué nos pasó?
Que cuando estábamos bien, se complicó
Que nos queríamos tanto y ahora no
Cupido tiró la flecha y la cagó
¿Qué le pasó? (¿Por qué falló?)

Si yo te extraño, te extraño por la noche
La noche me hace daño, yo todavía te extraño
Dicen que un clavo siempre saca a otro clavo
Pero este amor esclavo es difícil de olvidar (difícil de olvidar)

Si yo te extraño, te extraño por la noche
La noche me hace daño, yo todavía te extraño
Dicen que un clavo siempre saca a otro clavo
Pero este amor esclavo es difícil de olvidar

¿Qué nos pasó?
Que cuando estábamos bien, se complicó
Que nos queríamos tanto y ahora no
Cupido tiró la flecha y la cagó
¿Qué le pasó?

¿Qué nos pasó?
Que estábamos bien, y todo se jodió, ey
Que se enamoró y desenamoró
Cupido tiró la flecha y la cagó
¿Qué le pasó?

(La cagó)",tini
"Hay un sueño que late
Dentro de ti, dentro de ti
No te deja dormir
Se hace oír, se hace oír
Respira y sigue ahí
Vive en ti, vive en ti
Nada podrá impedir
Que te libere al fin

Una llama en tus ojos renace
Todo el mundo la verá cuando arde
Una voz dice: Cree en lo que haces
No pares, no pares
No, no, no te rindas jamás
Lo que sueñas se cumplirá
Confia en ti y lo lograrás
Siempre brillarás
(Cantarás, bailarás hasta el sol subirás con tu fe vencerás por amor)
Siempre brillarás

Llegarás donde quieras ir
Lejos, lejos
Aunque te cueste vas a seguir
Ve contra el viento
Hay un fuego dentro de ti
Es eterno, eterno
Aliméntalo es la razón de tu corazón

Una llama en tus ojos renace
Todo el mundo la verá cuando arde
Una voz dice: Cree en lo que haces
No pares, no pares
No, no, no te rindas jamás
Lo que sueñas se cumplirá
Confía en ti y lo lograras

Siempre brillarás
(Cantarás, bailarás hasta el sol subirás con tu fe vencerás por amor)
Correras, volaras
A vivir te entregaras
Tu propia voz la
Encontraras
Veras que tú
Siempre brillarás

Una llama en tus ojos renace
Todo el mundo la vera cuando arde
Un voz si se cree en lo que hace
No pares, no pares
No, no, no te rindas jamás
Lo que sueñas se cumplira
Confia en ti y lo lograras
Siempre brillarás

(Cantarás, bailarás hasta el sol subirás con tu fe venceras por amor)
Siempre brillarás
(Cantarás, bailarás hasta el sol subirás con tu fe venceras por amor)
Siempre brillarás",tini
"Sé que por un tiempo voy a navegar sin rumbo
Y aunque sea profundo el mar, yo ya te soltaré
Puede que la soledad en realidad no deje de doler
Pero duelen más mis pies por hacia a ti correr

Y de tanto esperarte, me cansé

Te soñaré, te extrañaré
Y aunque ya no te pueda ver, te inventaré
Me llamarás, contestaré
Y, con mi voz de que estoy bien, nos mentiré

Y cuando ya deje de contar cada segundo
Cuando tus lugares ya me dejen de doler
Y cuando por fin no seas el único en mi mundo
Te olvidaré
Te olvidaré

¡Cuánto duelen las pequeñas cosas en la vida!
Cada beso tuyo lo recuerdo como ayer
Duermo con las luces encendidas por si tú vas a volver
¡Cómo duele apagarlas al amanecer!

¡Cómo duele no volverte a ver!

Te soñaré, te extrañaré
Y aunque ya no te pueda ver, te inventaré
Me llamarás, contestaré
Y, con mi voz de que estoy bien, nos mentiré

Y cuando ya deje de contar cada segundo
Cuando tus lugares ya me dejen de doler
Y cuando por fin no seas el único en mi mundo
Te olvidaré, uoh

Eh, eh-yeh, eh-yeh
Yo te olvidaré
Te olvidaré
Oh

Y cuando ya deje de contar cada segundo
Cuando tus lugares ya me dejen de doler
Y cuando por fin no seas el único en mi mundo
Te olvidaré",tini
"Te prometo no llorar
Esperarte y no olvidar
Regálame un último beso que me haga soñar

Y este grito de dolor
Nunca callará este amor
Prefiero vivir esperando a aceptar que no estás

Te quiero tanto, amor
No sabes cuanto, amor
Por qué te vas?

¿Por qué olvidaste las razones para estar aquí?
¿Por qué dejaste las palabras que quería decirte?
Ya me dijeron que te olvide
Que el tiempo te cura y sigue, pero tú sigues aquí

Ya me dijeron que el amor no mata, pero sí te duele
Y es que duele tanto que por dentro mueres
No importa nada si tú no me quieres
Y aunque ya te fuiste quiero que te quedes

Te prometo no llorar (no llorar)
Esperarte y no olvidar (no olvidar)
Regálame un último beso que me haga soñar

Este grito de dolor (de dolor)
Nunca callará este amor
Prefiero vivir esperando a aceptar que no estás

Te quiero tanto, amor
No sabes cuanto, amor

¿Por qué te vas?
¿Por qué te vas? (dime, ¿por qué te vas?)
¿Por qué te vas?
¿Por qué te vas? (dime, ¿por qué te vas?)

Quedó un vacío tan grande cuando te fuiste
Falsas promesas y sueños que ya no existen
Verano eterno, primaveras en invierno
Descuidé la llama del amor y se volvió un infierno

No puedo detenerte y aun así lo intento
No fue mi culpa y aun así digo lo siento
Siento no ser suficiente
Siento que entre tanta gente
Yo escogerá enamorarme
De la que hoy se lleva el viento

Te prometo no llorar (no llorar)
Esperarte y no olvidar (no olvidar)
Regálame un último beso que me haga soñar

Y este grito de dolor (de dolor)
Nunca callará este amor
Prefiero vivir esperando a aceptar que no estás

Te quiero tanto, amor
No sabes cuanto, amor

¿Por qué te vas?
¿Por qué te vas? (dime, ¿por qué te vas?)
¿Por qué te vas?
¿Por qué te vas? (dime, ¿por qué te vas?)

Te prometo no llorar
Esperarte y no olvidar
Regálame un último beso que me haga soñar

Y este grito de dolor (de dolor)
Nunca callará este amor
Prefiero vivir esperando a aceptar que no estás

Te quiero tanto, amor
No sabes cuanto, amor

¿Por qué te vas?",tini
"Ya son más de las doce
Y sigo ahogando tu recuerdo
Entre más tomo, más me acuerdo de los dos
De tu piel, tus besos y tu voz

Aunque tú seas el malo
Yo recuerdo lo bueno
Hoy quiero vivir mis veintidós
Y yo te prometo

No me vuelvo a enamorar
De ti, de ti, de ti
Hoy te tienes que olvidar
De mí, de mí, de mí

No me vuelvas a buscar
Que ya no estaré aquí
No me vuelvo a enamorar
De ti, de ti, de ti

Y te juro que yo bailaré
Borrando tu recuerdo, viviré
Lágrimas de mis ojos, secaré
Y yo, por ningún hombre lloraré, no lloraré

Bailaré
Borrando tu recuerdo, viviré
Lágrimas de mis ojos, secaré
Y yo, por ningún hombre, lloraré

Yo ya no quiero verte, sin ti, soy más fuerte
Tú a mí me conoces, no creo en la suerte
Yo escribo el destino
Sin ti en mi camino, no vuelvo a perderme, oh

Y no dejes nada, ni huella en la almohada
Devuelve las noches, porque eran prestadas
Verás que no es cierto
Que yo era feliz cuando tú me besabas

No me vuelvo a enamorar (ay, no-no-no-no-no)
De ti, de ti, de ti (de ti, de ti, de ti)
Hoy te tienes que olvidar (ay, no-no-no-no-no)
De mí, de mí, de mí

No me vuelvas a buscar (ay, no-no-no-no-no)
Que ya no estaré aquí (no estaré aquí)
No me vuelvo a enamorar (ay, no-no-no-no-no)
De ti, de ti, de ti

Y te juro que yo bailaré
Borrando tu recuerdo, viviré
Lágrimas de mis ojos, secaré
Y yo, por ningún hombre, lloraré, no lloraré

Bailaré
Borrando tu recuerdo, viviré
Lágrimas de mis ojos, secaré
Y yo, por ningún hombre, lloraré

Oh, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh, oh, oh (Greeicy)

De ti, de ti, de ti
No me vuelvo a enamorar (TINI)
De ti, de ti, de ti",tini
"La nieve pinta la montaña hoy
No hay huellas que seguir
Y la soledad
Un reino y la reina vive en mí

El viento ruge y hay tormenta en mi interior
Una tempestad que de mí salió

Lo que hay en ti, no dejes ver
Buena chica tú siempre debes ser
No has de abrir tu corazón
Pues ya se abrió

Libre soy, libre soy
No puedo ocultarlo más
Libre soy, libre soy
Libertad sin vuelta atrás

Y firme así
Me quedó aquí
Libre soy, libre soy
El frío es parte también de mí

Mirando a la distancia
Pequeño todo es
Y los miedos que me ataban
Muy lejos los dejé

Lejanía, me haces bien
Ya puedo respirar
Lo sé, a todo renuncié
Pero al fin me siento en paz

Libre soy, libre soy
No puedo ocultarlo más
Libre soy, libre soy
Libertad si vuelta atrás

Y firme así
Me quedó aquí
Libre soy, libre soy
El frío es parte también de mí

Fuerte, fría
Escogí esta vida
No me sigas
Atrás está el pasado
Nieve lo cubrió

Libre soy, libre soy
No puedo ocultarlo más
Libre soy, libre soy
Libertad sin vuelta atrás

Y firme así
Me quedo aquí
Libre soy, libre soy
El frío es parte también de mí

Uoh, uoh, uoh
Libre soy
Oh, uoh

Libertad
Libre soy, libre soy
Uh, uh, uh
Libre soy",tini
"(TINI)

Tengo en la mirada
Eso que en lo oscuro solo puedes ver (that's right)
No preguntes nada
Tú ya sabes bien lo que vamos a hacer (all right)

Y ahora que ya estamos a solas
No me importa el día ni la hora
Tantas ganas no se controlan
Yo solo quiero volver

Y si me dices: Baila conmigo
Yo contigo bailaré
Y si me sigues, yo a ti te sigo
Donde quieras, llévame

Así en secreto dame tus besos
No lo pienses, bésame
Y si me dices: Baila conmigo
Yo contigo bailaré
Yeh, yeh, yeh, yeah

Cuando tú me toca', toca', toca', toca'
Cómo me provoca, -voca, -voca, -voca
Cuando tú me besa', de pies a cabeza
Sé que a ti te gustan mis labios de fresa

Cuando tú me toca', toca', toca', toca'
La piel bien me provoca, -voca, -voca, -voca
Cuando tú me besa', me dañas la cabeza
Es que a mí me gustan tus labios de fresa (la policía del flow)

Y si te digo, ven, baila, apaga tu phone
TúyYo.com, como en la habitación
Bailando reggaeton (that's right)
Tengo un cohete en el patalón (cómo así, cómo así, cómo así)

La nena es fresa y tiene la receta
M-m-mucho brillo en la discoteca
Yo mojé sus labios porque estaba seca
Vamos a disfrutar el momento, que parezca fiesta

Qué lindo movimiento, ma', qué linda que estás (that's right)
Son tus labios como helado de fresa y galleta (all right)
Tú eres un algodón de azúcar, tú eres alfa y beta
Como Bulma y Vegeta

Y si me dices: Baila conmigo (conmigo)
Yo contigo bailaré (bailaré)
Y si me sigues, yo a ti te sigo (te sigo)
Donde quieras, llévame (llévame, llévame)

Así en secreto dame tus besos (tus besos)
No lo pienses, bésame (bésame, bésame)
Y si me dices: Baila conmigo (conmigo)
Yo contigo bailaré
Yeh, yeh

Dice
Cuando tú me toca', toca', toca', toca'
Cómo me provoca, -voca, -voca, -voca
Cuando tú me besa', de pies a cabeza
Sé que a ti te gustan mis labios de fresa

Cuando tú me toca', toca', toca', toca'
La piel bien me provoca, -voca, -voca, -voca
Cuando tú me besa', me dañas la cabeza
Sé que a ti te gustan mis labios de fresa

Cuando tú me toca', toca', toca', toca'
Como me provoca (lo nuestro fluye como el aire)
Cuando tú me besa', de pies a cabeza
(Es que mi me gustan tus labios de fresa)

Cuando tú me toca', toca', toca', toca'
Cómo me provoca (lo nuestro fluye como el aire)
Cuando tú me besa', de pies a cabeza
Sé que a ti te gustan mis labios de fresa (that's right)

L-A-L-O
TINI, TINI, TINI
Dos mil thirty five
That's right
Baby",tini
"Cómo te duelen los sentimientos cuando no los dejas ir
¿Cómo se borran los recuerdos, cuando aún viven en mí?
Se hace difícil perdonar, pero más difícil perdonarte a ti
A veces pienso que estoy loca, porque loca me sentí

Loca como el mar, que no se entiende lo que hace ni a dónde va
Solo él puede entender y encontrarse en alguien más
¿Será que el ser humano nunca aprende a nadar?
En búsqueda del sentido y no poder parar
Perdida en el desierto y no logro saciar
Saciar el alma fría, volver a respirar

Saciar el alma en pena, saciar para sanar
Decir que nada duele, decir que va a pasar
Confundir los papeles, ya no me sale actuar
Querer volver el tiempo y volver a empezar
Me escapé de mi realidad, me encerré en mi soledad
Y eso de volver a empezar, ni lo puedo empezar

Cuántas veces lo nombré, cuántas veces lo avisé
Pero no quisiste ver (quisiste ver), no lo quisiste saber
No me quisiste conocer, yo solo quería correr
Pero, por correr descalza, tengo heridas en la piel
Son heridas que te empañan, son heridas que te nublan
Son heridas que te empañan, son heridas que te nublan

Y ese miedo de no encontrar las palabras
Y ese miedo de no saber dónde voy
Y ese miedo de no saberme mi nombre
Y la calma que ya nunca más volvió",tini
"Cuando te vi, algo me dijo que tú eras para mi
Mi corazón me preguntaba por ti
Y te confieso que yo paso a paso, me enamoré
No te buscaba pero al fin te encontré
Me gusta tanto que quiero repetir
Amo lo que me haces sentir

Cuando me dices
Suéltate el pelo
Y con un beso vamos a romper el hielo
Para que brille como estrellas en el cielo
Suéltate el pelo, suéltate el pelo
Cuando me dices
Baila conmigo
Y que la música te diga que te quiero
Para que brille como estrellas en el cielo
Suéltate el pelo, suéltate el pelo

Suéltate-te-te el pelo
Suéltate-te-te el pelo
Para que brille el cielo
Suéltate-te-te el pelo

Te encontré, t-t-te encontré
Dile a tu corazón que yo aquí estaré
Yo te quiero porque eres mi tipo y lo sabes
Cuando mi pelo baila a tu ritmo, lo sabes
No puedo dejar de mirarte (no)
No puedo dejar de pensarte (no)
Y contigo todo me gusta, todo me gusta, uoh

Cuando me dices
Suéltate el pelo
Y con un beso vamos a romper el hielo
Para que brille como estrellas en el cielo
Suéltate el pelo, suéltate el pelo
Cuando me dices
Baila conmigo
Y que la música te diga que te quiero
Para que brille como estrellas en el cielo
Suéltate el pelo, suéltate el pelo

Suéltate-te-te el pelo
Suéltate-te-te el pelo
Para que brille el cielo
Suéltate-te-te el pelo
Suéltate-te-te el pelo
Suéltate-te-te el pelo
Para que brille el cielo
Suéltate-te-te el pelo
Suéltate-te-te el pelo",tini
